city,lat,lon,temp,humidity,clouds,windspeed,temp_max
vaitape,-16.52,-151.75,28.25,73,17,3.88,28.25
gat,31.61,34.76,14.0,93,0,1.5,16.67
maniitsoq,65.42,-52.9,-17.15,72,4,6.2,-17.15
kapaa,22.08,-159.32,21.85,94,90,11.8,23.0
atuona,-9.8,-139.03,27.85,68,14,4.02,27.85
avarua,-21.21,-159.78,29.0,79,100,6.2,29.0
katsuura,35.13,140.3,4.56,41,20,3.6,5.0
sola,-13.88,167.55,29.75,74,100,8.24,29.75
nikolskoye,59.7,30.79,-0.5,91,85,2.0,0.0
hobart,-42.88,147.33,10.72,76,100,4.6,12.0
havoysund,71.0,24.66,-5.0,92,90,14.9,-5.0
najran,17.49,44.13,24.0,23,96,2.1,24.0
port elizabeth,-33.92,25.57,18.0,82,64,7.7,18.0
umarkot,25.36,69.74,21.75,23,16,2.94,21.75
castro,-24.79,-50.01,24.55,70,3,0.65,24.55
bredasdorp,-34.53,20.04,17.76,72,56,8.2,18.89
lasa,46.62,10.7,1.9,79,24,1.5,7.0
punta arenas,-53.15,-70.92,11.85,50,40,13.4,12.0
safaga,26.73,33.94,21.0,32,0,2.6,21.0
hilo,19.73,-155.09,23.27,54,20,5.7,27.0
bathsheba,13.22,-59.52,27.0,65,20,5.1,27.0
shetpe,44.17,52.12,0.65,95,100,10.1,0.65
ushuaia,-54.8,-68.3,10.56,66,40,15.4,12.0
petropavl,54.88,69.16,-0.85,89,100,4.87,-0.85
cape town,-33.93,18.42,19.64,60,0,6.2,20.0
asau,46.43,26.4,1.6,43,43,5.7,2.0
rikitea,-23.12,-134.97,27.05,78,50,6.03,27.05
hofn,64.25,-15.21,4.95,76,87,16.53,4.95
palmer,42.16,-72.33,4.45,26,75,4.1,7.0
orcopampa,-15.27,-72.34,5.35,93,100,3.91,5.35
dhidhdhoo,6.88,73.1,28.35,75,14,3.64,28.35
vila franca do campo,37.72,-25.43,15.0,77,20,2.42,15.0
kirakira,-10.45,161.92,27.05,80,100,1.92,27.05
puerto suarez,-18.95,-57.8,26.46,94,75,1.99,28.0
bima,-8.47,118.72,22.05,93,0,0.47,22.05
praia,14.92,-23.51,22.0,68,75,46.3,22.0
atar,20.52,-13.05,21.95,15,84,4.16,21.95
morondava,-20.28,44.28,23.15,95,0,1.31,23.15
blajeni,46.23,22.9,2.35,54,54,0.59,2.35
talnakh,69.49,88.4,-27.0,75,90,3.0,-27.0
bud,39.45,-86.18,8.07,65,90,2.6,9.44
busselton,-33.65,115.33,15.42,69,10,5.06,16.67
tipuani,-15.56,-68.02,28.25,58,100,1.0,28.25
vaini,-21.2,-175.2,29.0,83,40,8.2,29.0
west bay,19.37,-81.42,27.34,69,75,7.2,28.0
mataura,-46.19,168.86,9.44,85,75,1.34,9.44
antofagasta,-23.65,-70.4,20.0,72,20,6.7,20.0
clyde river,70.47,-68.59,-20.0,40,40,4.1,-20.0
sao joao da barra,-21.64,-41.05,28.0,69,0,6.2,28.0
tiksi,71.69,128.87,-18.05,96,100,2.2,-18.05
bilibino,68.05,166.44,-13.35,90,100,1.68,-13.35
kavieng,-2.57,150.8,28.55,75,71,3.55,28.55
bengkulu,-3.8,102.27,23.85,86,100,1.45,23.85
dandong,40.13,124.39,-1.05,85,34,1.61,-1.05
hanting,36.77,119.21,8.55,63,0,2.97,8.55
pocking,48.4,13.32,5.94,65,87,1.5,8.33
yellowknife,62.46,-114.35,-20.0,48,75,5.1,-20.0
carnarvon,-24.87,113.63,23.0,83,40,5.7,23.0
necochea,-38.55,-58.74,21.89,73,0,0.89,24.44
albany,42.6,-73.97,5.75,27,1,3.6,8.0
barrow,71.29,-156.79,-13.0,92,75,4.1,-13.0
qaanaaq,77.48,-69.36,-20.05,49,26,1.85,-20.05
tateyama,34.98,139.87,4.55,41,20,3.6,5.0
tambacounda,13.75,-13.76,33.0,10,30,3.1,33.0
blackfoot,43.19,-112.34,11.34,43,75,4.1,13.0
batagay-alyta,67.8,130.41,-18.45,98,100,1.27,-18.45
mahebourg,-20.41,57.7,23.38,100,75,1.5,23.89
ribeira grande,38.52,-28.7,17.0,82,40,6.2,17.0
saint peter,13.25,-59.62,27.0,65,20,5.1,27.0
nantucket,41.28,-70.1,1.3,51,40,4.1,2.0
mopipi,-21.18,24.88,26.35,41,16,2.71,26.35
ponta do sol,32.67,-17.1,14.45,67,75,7.7,15.0
georgetown,5.41,100.34,27.38,74,20,3.6,28.0
longyearbyen,78.22,15.64,-28.0,75,20,1.5,-28.0
cap malheureux,-19.98,57.61,23.48,100,75,1.5,23.89
chokurdakh,70.63,147.92,-27.75,86,0,1.63,-27.75
laguna,38.42,-121.42,7.27,75,90,2.1,10.0
timra,62.49,17.33,-1.27,79,96,2.6,1.11
tsabong,-26.02,22.4,26.05,29,0,2.09,26.05
chuy,-33.7,-53.46,21.15,58,0,5.27,21.15
lucena,13.93,121.62,24.44,90,81,0.45,24.44
arya,33.6,73.07,14.01,87,19,2.1,15.0
bluff,-46.6,168.33,9.44,85,99,1.34,9.44
rock springs,41.59,-109.2,10.0,31,1,1.5,10.0
kaitangata,-46.28,169.85,10.25,57,100,3.97,10.25
bonthe,7.53,-12.51,27.25,78,100,4.27,27.25
lompoc,34.64,-120.46,8.4,93,90,2.84,9.0
san patricio,19.22,-104.7,29.0,79,20,5.1,29.0
mar del plata,-38.0,-57.56,19.53,72,0,5.7,21.11
ilo,-17.64,-71.34,25.0,83,75,5.1,25.0
isangel,-19.55,169.27,28.0,88,90,4.1,28.0
turiacu,-1.66,-45.37,23.25,97,99,1.15,23.25
mackay,-21.15,149.2,24.51,83,36,4.6,26.67
itarema,-2.92,-39.92,24.95,88,100,0.87,24.95
cherskiy,68.75,161.3,-8.05,89,100,5.71,-8.05
kahului,20.89,-156.47,24.01,69,40,2.1,26.0
obo,5.4,26.49,24.15,39,0,1.15,24.15
kalabo,-14.97,22.68,20.05,92,85,1.45,20.05
grindavik,63.84,-22.43,1.42,100,75,3.1,2.0
tasiilaq,65.61,-37.64,-11.0,78,100,5.7,-11.0
charters towers,-20.1,146.27,20.35,83,48,2.42,20.35
hermanus,-34.42,19.23,18.89,70,57,7.15,18.89
sucha beskidzka,49.74,19.59,5.19,59,89,2.1,7.78
oranjemund,-28.55,16.43,18.55,82,23,2.43,18.55
tashtyp,52.79,89.9,-1.85,84,0,3.76,-1.85
suntar,62.14,117.63,-8.65,96,37,1.78,-8.65
rokytnice nad jizerou,50.73,15.43,5.49,76,30,2.14,8.89
labelle,26.76,-81.44,30.04,40,40,6.2,32.22
upernavik,72.79,-56.15,-27.95,56,0,3.62,-27.95
port lincoln,-34.73,135.87,21.25,36,69,5.27,21.25
dzerzhinskoye,56.83,95.23,-1.95,84,100,8.95,-1.95
ler,8.3,30.14,26.95,16,0,1.07,26.95
